Starting,Ending,distance,type,,,,,,,,
Sun Beam Apartments,Fruit Vendors,5,fruits,,,,,,,,
Habib University,New Quetta Hotel,65,dhaba,,,,,,,,
New Quetta Hotel,Mehran Lab,5,Laboratory,,,,,,,,
Mehran Lab,Aga Khan Lab,5,Laboratory,,,,,,,,
Aga Khan Lab,Khan Electronics,5,electric repair,,,,,,,,
Khan Electronics,Jabbar Oil Change,5,Oil change,,,,,,,,
Irfan Sabzi Shop,Pan shop,20,pan,,,,,,,,
Jabbar Oil Change,Vital H2O RO plant,10,Water,,,,,,,,
Vital H2O RO plant,Quetta Al Naseeb Hotel,15,dhaba,,,,,,,,
Quetta Al Naseeb Hotel,Hamza Sweets,30,confectionery,,,,,,,,
Hamza Sweets,Al Hafiz Stationery,25,Stationery,,,,,,,,
Al Hafiz Stationery,Berry Line,10,Icecream,,,,,,,,
Berry Line,Talha Medical Supply,10,Medical,,,,,,,,
Talha Medical Supply,Makkah Plastics,10,Plastics,,,,,,,,
Makkah Plastics,Masha Allah Burger,5,Burger,,,,,,,,
Makkah Plastics,Lasani Hotel ,10,Hotel,,,,,,,,
Lasani Hotel ,Lasani Chawal Cholay,5,Hotel,,,,,,,,
Lasani Hotel ,Tyre Shop,10,puncture,,,,,,,,
Tyre Shop,Pan stall,5,pan,,,,,,,,
Tyre Shop,Irfan Sabzi Shop,10,vegetables,,,,,,,,
Irfan Sabzi Shop,Geo Hair Salon,10,salon,,,,,,,,
Geo Hair Salon,Lahori Pakora,5,pakoray,,,,,,,,
Habib University,Tire Shop 1,60,puncture,,,,,,,,
Habib University,Tire Shop 2,63,puncture,,,,,,,,
Tire Shop 1,Fruit Vendors,10,fruits,,,,,,,,
Tire Shop 2,Mumtaz Steel Works,7,steel,,,,,,,,0
Khan Electronics,Tire Shop 2,20,puncture,,,,,,,,
Fruit Vendors,Level Up Gaming Zone,30,gaming zone,,,,,,,,
Level Up Gaming Zone,Quetta Star Blessings Hotel,25,dhaba,,,,,,,,
Quetta Star Blessings Hotel,Al Rehman Autos,15,autos,,,,,,,,
Al Rehman Autos,Medical SubhanAllah,10,Medical,,,,,,,,
Medical SubhanAllah,One Ten Communication,10,Mobile,,,,,,,,
One Ten Communication,Masha Allah General Store,10,store,,,,,,,,
Masha Allah General Store,Panaflex Printing,5,Stationery,,,,,,,,
Panaflex Printing,Dollar Gaming Zone,10,gaming zone,,,,,,,,
Dollar Gaming Zone,Lucky Autos,10,autos,,,,,,,,
Lucky Autos,New Bilal Hardware,5,hardware,,,,,,,,
New Bilal Hardware,Chabi Maker,5,key maker,,,,,,,,
New Bilal Hardware,Pan shop,5,pan,,,,,,,,
Pan shop,Pakeeza Juice Center,20,juice,,,,,,,,
New Bilal Hardware,Afghan Seekh boti center,10,Hotel,,,,,,,,
Lasani Hotel ,Afghan Seekh boti center,10,Hotel,,,,,,,,
Mumtaz Steel Works,Afghan Seekh boti,160,Hotel,,,,,,,,
Pakeeza Juice Center,Garment Stall,10,garment,,,,,,,,
Pakeeza Juice Center,sunglasses stall,10,sunglasses,,,,,,,,
Pakeeza Juice Center,Farhan Biryani,25,biryani,,,,,,,,
Lasani Hotel ,Adnan Chapal Wala,30,shoes,,,,,,,,
Adnan Chapal Wala,Pak Nagori Milk Shop,15,milk,,,,,,,,
Pak Nagori Milk Shop,Farhan Biryani 2,15,biryani,,,,,,,,
Al Raheem Avenue,Quetta Al Naseeb Hotel,2,hotel,,,,,,,,
Quetta Al Naseeb Hotel,Hamza Sweets,30,methai,,,,,,,,
Tire Shop 1,Tire Shop 2,10,puncture,,,,,,,,
New Bilal Hardware,Lasani Hotel ,20,hotel,,,,,,,,
Afghan Seekh boti center,Garment Stall,30,garment,,,,,,,,
Medical SubhanAllah,Al Hafiz Stationery,20,Stationery,,,,,,,,
Makkah Plastics,Lucky Autos,20,autos,,,,,,,,
Pakeeza Juice Center,Lahori Pakora,20,pakoray,,,,,,,,
Farhan Biryani 2,Farhan Biryani,20,biryani,,,,,,,,
Pakeeza Juice Center,Geo Hair Salon,20,salon,,,,,,,,
Hamza Sweets,Al Rehman Autos,20,autos,,,,,,,,
Pakeeza Juice Center,Quetta Al Khyber Hotel,10,dhaba,,,,,,,,
